cargo_id,cargo
CAR_ADMINISTRADOR_DE_CONTRATO_0956B4E821,ADMINISTRADOR DE CONTRATO
CAR_ADMINISTRADOR_DE_CONTRATOS_1BA2E56723,ADMINISTRADOR DE CONTRATOS
CAR_ADMINISTRATIVA_MANTENCION_E850CF8AFC,ADMINISTRATIVA MANTENCION
CAR_ADMINISTRATIVO_1439407523,ADMINISTRATIVO
CAR_ADMINISTRATIVO_CONTABLE_7CB8C239B4,ADMINISTRATIVO CONTABLE
CAR_ADMINISTRATIVO_MANTENCION_3B5AA80FF0,ADMINISTRATIVO MANTENCION
CAR_ANALISTA_DE_REMUNERACIONES_4B72F205CA,ANALISTA DE REMUNERACIONES
CAR_ASEADOR_F035155300,ASEADOR
CAR_ASEADORA_B821E45ADD,ASEADORA
CAR_ASEASOR_435B33D37C,ASEASOR
CAR_ASESOR_DE_PREVENCION_DE_RIESGOS_C729464004,ASESOR DE PREVENCION DE RIESGOS
CAR_ASESOR_PREVENCION_DE_RIESGO_B20A06B5F6,ASESOR PREVENCIÓN DE RIESGO
CAR_ASISTENTE_48DB2F583A,ASISTENTE
CAR_ASISTENTE_ADMINISTRATIVO_3C499CB179,ASISTENTE ADMINISTRATIVO
CAR_ASISTENTE_OPERACIONES_D99F8BE1BF,ASISTENTE OPERACIONES
CAR_ASISTENTE_PREVENCION_DE_RIESGOS_4FB28F457B,ASISTENTE PREVENCION DE RIESGOS
CAR_AYUDANTE_MANTENCION_6E37078CA9,AYUDANTE MANTENCION
CAR_BODEGUERO_73CACE8730,BODEGUERO
CAR_BOMBERO_719D688B73,BOMBERO
CAR_CARROCERO_3EDBA6A834,CARROCERO
CAR_CARROCERO_PINTOR_Y_DESABOLALDOR_BEEFDB332E,CARROCERO PINTOR Y DESABOLALDOR
CAR_CARROCERO_PINTOR_Y_DESABOLLADOR_9AF1E0CAF7,CARROCERO PINTOR Y DESABOLLADOR
CAR_CHOFER_DE_VEHICULOS_MOTORIZADOS_Y_MANTENCION_53FC175C26,CHOFER DE VEHICULOS MOTORIZADOS Y MANTENCION
CAR_CONDUCTOR_B476B8A1DC,CONDUCTOR
CAR_CONDUCTOR_ESCOLTA_91EDAFFC94,CONDUCTOR ESCOLTA
CAR_CONDUTOR_PART_TIME_35AE122D45,CONDUTOR PART TIME
CAR_CONTADOR_7597DB16F1,CONTADOR
CAR_ELECTROMECANICO_1765FA1045,ELECTROMECANICO
CAR_ENCARGADA_DE_FACTURACION_Y_COBRANZA_47A5989774,ENCARGADA DE FACTURACION Y COBRANZA
CAR_ENCARGADA_DE_PEAJES_8C0EFA0ADB,ENCARGADA DE PEAJES
CAR_ENCARGADA_DE_RELACIONES_LABORALES_8E9134A4C6,ENCARGADA DE RELACIONES LABORALES
CAR_ENCARGADA_RRHH_3346F844F7,ENCARGADA RRHH
CAR_ENCARGADO_COMBUSTIBLE_34E2000D96,ENCARGADO COMBUSTIBLE
CAR_ENCARGADO_DE_ADQUISICIONES_8F3105E9F1,ENCARGADO DE ADQUISICIONES
CAR_ENCARGADO_SALA_DE_MONITOREO_4F59C66A74,ENCARGADO SALA DE MONITOREO
CAR_ESTAFETA_93C77C67C9,ESTAFETA
CAR_GERENTE_ADMINISTRACION_Y_FINANZAS_A806D025B4,GERENTE ADMINISTRACION Y FINANZAS
CAR_GERENTE_DE_INGENIERIA_Y_MANTENIMIENTO_A7FB05206C,GERENTE DE INGENIERIA Y MANTENIMIENTO
CAR_GERENTE_DE_OPERACIONES_EC5964B367,GERENTE DE OPERACIONES
CAR_GERENTE_DE_PLANIFICACION_Y_CONTROL_DE_GESTION_1D9CF9541A,GERENTE DE PLANIFICACIÓN Y CONTROL DE GESTIÓN
CAR_JEFE_CUMPLIMIENTO_LABORAL_1DCA8F49EE,JEFE CUMPLIMIENTO LABORAL
CAR_JEFE_DE_ADQUISICIONES_39A309377C,JEFE DE ADQUISICIONES
CAR_JEFE_DE_BASE_020878D9C8,JEFE DE BASE
CAR_JEFE_DE_MANTENCION_334B433095,JEFE DE MANTENCION
CAR_JEFE_DE_PREVENCION_A260FDE72F,JEFE DE PREVENCION
CAR_JEFE_DE_RECURSOS_HUMANOS_715AF856D2,JEFE DE RECURSOS HUMANOS
CAR_JEFE_DE_TALLER_B951F4E6CD,JEFE DE TALLER
CAR_JEFE_RELACIONES_LABORALES_B0CBFAA377,JEFE RELACIONES LABORALES
CAR_MECANICO_4D98090358,MECANICO
CAR_PINTOR_9B4E56B5EC,PINTOR
CAR_PINTOR_DESABOLLADOR_E080B44B15,PINTOR DESABOLLADOR
CAR_PINTOR_Y_DESABOLLADOR_785380C5FA,PINTOR Y DESABOLLADOR
CAR_PLANIFICADOR_Y_COORDINADOR_DE_OPERACIONES_819FA0779A,PLANIFICADOR Y COORDINADOR DE OPERACIONES
CAR_PREVENCIONISTA_DE_RIESGO_932C04A429,PREVENCIONISTA DE RIESGO
CAR_PROGRAMADOR_DE_MANTENCION_6D4C442FE3,PROGRAMADOR DE MANTENCION
CAR_RONDIN_2B6487EF52,RONDIN
CAR_SECRETARIA_GERENCIA_073215B8DE,SECRETARIA GERENCIA
CAR_SUB_GERENTE_MANTENCION_7D81E84DFF,SUB GERENTE MANTENCIÓN
CAR_SUPERVISON_MANTEMCION_E6B883B681,SUPERVISON MANTEMCIÓN
CAR_SUPERVISOR_0E93FF7722,SUPERVISOR
CAR_SUPERVISOR_ASEO_FDD6E3061E,SUPERVISOR ASEO
CAR_SUPERVISOR_DE_MANTENCION_332236324A,SUPERVISOR DE MANTENCIÓN
CAR_SUPERVISOR_DE_PATIO_A77A22625E,SUPERVISOR DE PATIO
CAR_SUPERVISOR_OPERACIONES_32C1AE6816,SUPERVISOR OPERACIONES
CAR_TECNICO_ELECTRICO_2F856D04C6,TECNICO ELECTRICO
CAR_TESORERO_3F2F749B00,TESORERO
